timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784788123523,6681,Product 1 - HTTP Request,200,OK,DemoBlaze Group 5-15,text,true,,5355,131,20,100,https://demoblaze.com/prod.html?idp_=1,6425,0,0
1784788122379,7854,Product 1 - HTTP Request,200,OK,DemoBlaze Group 5-13,text,true,,5531,131,20,100,https://demoblaze.com/prod.html?idp_=1,7423,0,0
1784788123698,6842,Product 1 - HTTP Request,200,OK,DemoBlaze Group 5-7,text,true,,5485,131,20,100,https://demoblaze.com/prod.html?idp_=1,6506,0,0
1784788123821,6719,Product 1 - HTTP Request,200,OK,DemoBlaze Group 5-12,text,true,,5465,131,20,100,https://demoblaze.com/prod.html?idp_=1,6390,0,0
1784788125468,5738,Product 1 - HTTP Request,200,OK,DemoBlaze Group 5-8,text,true,,5447,131,20,100,https://demoblaze.com/prod.html?idp_=1,5454,0,0
1784788106528,24820,Home Page - HTTP Request,200,OK,EasyCalculations Group 1-3,text,true,,48247,134,20,100,https://www.easycalculation.com/index.php,21766,0,12915
1784788106778,24699,Home Page - HTTP Request,200,OK,EasyCalculations Group 1-4,text,true,,48247,134,20,100,https://www.easycalculation.com/index.php,21489,0,12818
1784788109293,22185,Documentations - WebDriver - HTTP Request,200,OK,Selenium Group 2-14,text,true,,77118,142,20,100,https://www.selenium.dev/documentation/webdriver/,15861,0,8901
1784788109792,21687,Documentations - WebDriver - HTTP Request,200,OK,Selenium Group 2-16,text,true,,77118,142,20,100,https://www.selenium.dev/documentation/webdriver/,17011,0,8691
1784788109542,22047,Documentations - WebDriver - HTTP Request,200,OK,Selenium Group 2-15,text,true,,77118,142,20,100,https://www.selenium.dev/documentation/webdriver/,17287,0,8940
1784788108771,22828,Home Page - HTTP Request,200,OK,EasyCalculations Group 1-12,text,true,,48247,134,20,100,https://www.easycalculation.com/index.php,19565,0,10870
1784788107276,24353,Home Page - HTTP Request,200,OK,EasyCalculations Group 1-6,text,true,,48247,134,20,100,https://www.easycalculation.com/index.php,21065,0,12364
1784788121625,10394,Business - HTTP Request,200,OK,AlotoMutual Group 4-3,text,true,,8772,151,20,100,http://altoro.testfire.net/index.jsp?content=business.htm,10394,0,2089
1784788109021,22999,Home Page - HTTP Request,200,OK,EasyCalculations Group 1-13,text,true,,48247,134,20,100,https://www.easycalculation.com/index.php,19638,0,10744
1784788121624,10395,Business - HTTP Request,200,OK,AlotoMutual Group 4-15,text,true,,8772,151,20,100,http://altoro.testfire.net/index.jsp?content=business.htm,10395,0,2090
1784788121584,10476,Business - HTTP Request,200,OK,AlotoMutual Group 4-16,text,true,,8772,151,20,100,http://altoro.testfire.net/index.jsp?content=business.htm,10475,0,2130
1784788121625,10435,Business - HTTP Request,200,OK,AlotoMutual Group 4-11,text,true,,8772,151,20,100,http://altoro.testfire.net/index.jsp?content=business.htm,10435,0,2089
1784788121616,10444,Business - HTTP Request,200,OK,AlotoMutual Group 4-12,text,true,,8772,151,20,100,http://altoro.testfire.net/index.jsp?content=business.htm,10444,0,2107
1784788121625,10435,Business - HTTP Request,200,OK,AlotoMutual Group 4-4,text,true,,8772,151,20,100,http://altoro.testfire.net/index.jsp?content=business.htm,10435,0,2098
1784788121584,10476,Business - HTTP Request,200,OK,AlotoMutual Group 4-5,text,true,,8772,151,20,100,http://altoro.testfire.net/index.jsp?content=business.htm,10476,0,2140
1784788108522,24732,Home Page - HTTP Request,200,OK,EasyCalculations Group 1-11,text,true,,48247,134,20,100,https://www.easycalculation.com/index.php,21248,0,11134
1784788125776,7510,Inside - HTTP Request,200,OK,AlotoMutual Group 4-6,text,true,,8649,149,20,100,http://altoro.testfire.net/index.jsp?content=inside.htm,7510,0,0
1784788125840,7447,Inside - HTTP Request,200,OK,AlotoMutual Group 4-7,text,true,,8649,149,20,100,http://altoro.testfire.net/index.jsp?content=inside.htm,7447,0,0
1784788126507,6781,Inside - HTTP Request,200,OK,AlotoMutual Group 4-14,text,true,,8649,149,20,100,http://altoro.testfire.net/index.jsp?content=inside.htm,6781,0,0
1784788126499,6789,Inside - HTTP Request,200,OK,AlotoMutual Group 4-1,text,true,,8649,149,20,100,http://altoro.testfire.net/index.jsp?content=inside.htm,6789,0,0
